"question_id","question","entity","entity_slug","coding_brint","coding_angel","coding_juan","human_response","entity_question_id"
1,"Are the procedures for decision-making in the PON specified?","Independent Regulators Group","irg",TRUE,TRUE,TRUE,TRUE,"irg_1"
2,"Are voting rules (such as simple majority) explicitly established?","Independent Regulators Group","irg",TRUE,TRUE,TRUE,TRUE,"irg_2"
3,"Are decisions made by simple majority voting by member organizations?","Independent Regulators Group","irg",FALSE,FALSE,TRUE,FALSE,"irg_3"
4,"Are decisions made by consensus or unanimity by member organizations?","Independent Regulators Group","irg",TRUE,FALSE,TRUE,TRUE,"irg_4"
5,"If the PON has both a plenary assembly and an executive board, do they have different decision-making rules (as in simple majority, qualified majority or unanimity/consesus)?","Independent Regulators Group","irg",TRUE,FALSE,FALSE,FALSE,"irg_5"
6,"Are there expert committees in the PON?","Independent Regulators Group","irg",FALSE,FALSE,FALSE,FALSE,"irg_6"
7,"Does the PON have any unit or body in charge of the operations/day-to-day functioning/running/execution?","Independent Regulators Group","irg",TRUE,TRUE,TRUE,TRUE,"irg_7"
8,"Does the organization have a plenary assembly where all members participate and which makes the constitutional decisions?","Independent Regulators Group","irg",TRUE,TRUE,TRUE,TRUE,"irg_8"
9,"Does the organization have an executive board where a subset of members participate and which make strategic decisions?","Independent Regulators Group","irg",TRUE,TRUE,TRUE,TRUE,"irg_9"
10,"Does the PON have working groups where member organizations can participate in?","Independent Regulators Group","irg",FALSE,TRUE,TRUE,TRUE,"irg_10"
11,"Does accession into the PON depend on a decision by the incumbent member organizations?","Independent Regulators Group","irg",TRUE,TRUE,TRUE,TRUE,"irg_11"
12,"Does the PON clearly specify which types of organizations can become members?","Independent Regulators Group","irg",TRUE,TRUE,TRUE,TRUE,"irg_12"
13,"Do potential member organizations have to fulfil certain conditions to become members?","Independent Regulators Group","irg",TRUE,TRUE,TRUE,TRUE,"irg_13"
14,"Is there a process for membership suspension from the PON?","Independent Regulators Group","irg",TRUE,TRUE,TRUE,TRUE,"irg_14"
15,"Are there members which have no voting power, such as observer members?","Independent Regulators Group","irg",TRUE,FALSE,FALSE,FALSE,"irg_15"
1,"Are the procedures for decision-making in the PON specified?","cOAlition S","coas",TRUE,TRUE,TRUE,TRUE,"coas_1"
2,"Are voting rules (such as simple majority) explicitly established?","cOAlition S","coas",TRUE,TRUE,TRUE,TRUE,"coas_2"
3,"Are decisions made by simple majority voting by member organizations?","cOAlition S","coas",TRUE,TRUE,TRUE,TRUE,"coas_3"
4,"Are decisions made by consensus or unanimity by member organizations?","cOAlition S","coas",FALSE,FALSE,TRUE,FALSE,"coas_4"
5,"If the PON has both a plenary assembly and an executive board, do they have different decision-making rules (as in simple majority, qualified majority or unanimity/consesus)?","cOAlition S","coas",FALSE,TRUE,FALSE,FALSE,"coas_5"
6,"Are there expert committees in the PON?","cOAlition S","coas",TRUE,FALSE,TRUE,TRUE,"coas_6"
7,"Does the PON have any unit or body in charge of the operations/day-to-day functioning/running/execution?","cOAlition S","coas",TRUE,TRUE,TRUE,TRUE,"coas_7"
8,"Does the organization have a plenary assembly where all members participate and which makes the constitutional decisions?","cOAlition S","coas",FALSE,TRUE,TRUE,TRUE,"coas_8"
9,"Does the organization have an executive board where a subset of members participate and which make strategic decisions?","cOAlition S","coas",TRUE,TRUE,TRUE,TRUE,"coas_9"
