manuscript_question_id,entity_slug,manuscript_agreement
1,irg,1
1,coas,1
1,euhc,1
1,ceer,1
1,can,1
2,irg,1
2,coas,1
2,euhc,1
2,ceer,1
2,can,2-2
3,irg,2-2
3,coas,1
3,euhc,3-1*
3,ceer,0
3,can,0
4,irg,3-1
4,coas,2-2
4,euhc,1
4,ceer,3-1
4,can,3-1
5,irg,2-2
5,coas,3-1
5,euhc,3-1
5,ceer,3-1*
5,can,3-1
6,irg,0
6,coas,3-1
6,euhc,2-2
6,ceer,2-2
6,can,2-2
7,irg,1
7,coas,1
7,euhc,0
7,ceer,1
7,can,1
8,irg,1
8,coas,2-2
8,euhc,1
8,ceer,1
8,can,1
9,irg,1
9,coas,1
9,euhc,0
9,ceer,1
9,can,1
10,irg,1
10,coas,1
10,euhc,1
10,ceer,1
10,can,3-1
11,irg,1
11,coas,1
11,euhc,1
11,ceer,1
11,can,1
12,irg,1
12,coas,1
12,euhc,1
12,ceer,1
12,can,1
13,irg,1
13,coas,2-2
13,euhc,1
13,ceer,1
13,can,3-1
14,irg,2-2
14,coas,2-2
14,euhc,0
14,ceer,1
14,can,3-1
