question_id,question
1,Are the procedures for decision-making in the PON specified?
2,Are voting rules (such as simple majority) explicitly established?
3,Are decisions made by simple majority voting by member organizations?
4,Are decisions made by consensus or unanimity by member organizations?
5,"If the PON has both a plenary assembly and an executive board, do they have different decision-making rules (as in simple majority, qualified majority or unanimity/consensus)?"
6,Are there expert committees in the PON?
7,Does the PON have any unit or body in charge of the operations/ day-to-day functioning/ running /execution?
8,Does the organization have a plenary assembly where all members participate and which makes the constitutional decisions?
9,Does the organization have an executive board where a subset of members participate and which make strategic decisions?
10,Does the PON have working groups where member organizations can participate in?
11,Does accession into the PON depend on a decision by the incumbent member organizations?
12,Does the PON clearly specify which types of organisations can become members?
13,Do potential member organizations have to fullful certain conditions to become members?
14,Is there a process for membership suspension from the PON?
15,"Are there members which have no voting power, such as observer members?"
